algorithm,trajectory,binder_length,duration_seconds,AlphaFold calls,,plddt (higher is better),ipTM (higher is better),loss (lower is better)
BindCraft,MutaCraft_WarmStart_l85_s182392,85,457,81,,0.64,0.1,7.11
BindCraft,MutaCraft_WarmStart_l107_s189080,107,960,97,,0.59,0.12,6.87
BindCraft,MutaCraft_WarmStart_l84_s811348,84,958,81,,0.65,0.1,7.32
,Total:,,2375,259,Mean:,0.626666667,0.106666667,7.1
,,,,,,,,
MutaCraft warm start,Based on MutaCraft_WarmStart_l120_s405553,120,570,245,,0.67,,4.7981
,,,,,,,,
,,,,,,,,
,,,,,,,,
Target Protein,,,,,,,,
1OP9,,,,,,,,
